,Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Team,Year
9,10,Ronald van Velzen,18.0,0.0,6.4,0.5,1.5,0.333,0.5,1.5,0.333,0.0,0.0,,0.2,0.5,0.333,,,1.8,0.2,0.2,0.0,0.5,0.8,1.2,illinois state,1997
10,11,Joe Hein,16.0,0.0,2.6,0.3,1.1,0.294,0.3,0.4,0.571,0.1,0.6,0.1,0.4,0.6,0.6,,,0.8,0.0,0.1,0.0,0.3,0.3,1.1,illinois state,1997
11,12,Ben Holmstrom,13.0,0.0,1.8,0.2,0.9,0.167,0.1,0.5,0.143,0.1,0.4,0.2,0.2,0.5,0.5,,,0.8,0.1,0.0,0.0,0.0,0.2,0.6,illinois state,1997
12,13,Ryan Crowley,10.0,0.0,1.8,0.2,0.7,0.286,0.2,0.4,0.5,0.0,0.3,0.0,0.0,0.0,,,,0.3,0.0,0.0,0.0,0.1,0.3,0.4,illinois state,1997
13,14,Nic Stotler,7.0,0.0,1.7,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.3,0.3,1.0,,,0.3,0.0,0.1,0.0,0.4,0.1,0.3,illinois state,1997
14,15,Khalil Ourguis,4.0,0.0,1.8,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,,0.0,0.0,,,,0.8,0.3,0.0,0.0,0.3,0.3,0.0,illinois state,1997
0,1,Kiwane Garris,32.0,32.0,34.0,5.3,13.4,0.4,3.0,7.2,0.411,2.4,6.2,0.386,6.4,7.7,0.833,,,3.5,5.6,1.6,0.1,2.5,2.4,19.4,illinois,1997
1,2,Jerry Hester,5.0,4.0,26.0,5.2,13.6,0.382,4.0,9.0,0.444,1.2,4.6,0.261,2.6,2.8,0.929,,,5.6,2.6,0.8,0.0,2.0,2.8,14.2,illinois,1997
2,3,Chris Gandy,32.0,32.0,25.2,4.2,8.2,0.513,3.8,7.1,0.529,0.4,1.1,0.412,2.2,3.0,0.719,,,5.7,0.6,0.9,0.7,1.7,2.9,11.0,illinois,1997
3,4,Matt Heldman,32.0,26.0,28.1,3.3,7.2,0.461,1.3,2.4,0.545,2.0,4.8,0.418,1.5,1.9,0.758,,,3.4,2.1,1.3,0.0,1.3,2.0,10.1,illinois,1997
4,5,Kevin Turner,32.0,20.0,25.9,3.8,9.2,0.41,1.8,4.3,0.426,1.9,4.9,0.395,0.7,0.8,0.808,,,2.3,2.1,1.0,0.0,1.4,1.8,10.1,illinois,1997
